timestamp	label	pairs	mean_ms	stddev_ms	min_ms	max_ms	mean_pair_delta_ms	files	script	build_dir
2026-04-14T21:16:01Z	th60	8	82.5	2.4	78.1	85.6	-0.4	tests/BasicsTests.elm,tests/CharTests.elm,tests/DictTests.elm,tests/FloatTests.elm,tests/MaybeTests.elm,tests/OrderTests.elm,tests/ResultTests.elm,tests/SetTests.elm	.scratch/ab-bundles/test-runner-th60.mjs	.elm-build-ab-th60
2026-04-14T21:16:01Z	th60-constfold	8	82.8	2.0	79.4	85.2	0.4	tests/BasicsTests.elm,tests/CharTests.elm,tests/DictTests.elm,tests/FloatTests.elm,tests/MaybeTests.elm,tests/OrderTests.elm,tests/ResultTests.elm,tests/SetTests.elm	.scratch/ab-bundles/test-runner-th60-constfold.mjs	.elm-build-ab-th60-constfold
2026-04-14T21:17:09Z	th60	8	81.9	3.3	77.5	87.9	-0.1	tests/BasicsTests.elm,tests/CharTests.elm,tests/DictTests.elm,tests/FloatTests.elm,tests/MaybeTests.elm,tests/OrderTests.elm,tests/ResultTests.elm,tests/SetTests.elm	.scratch/ab-bundles/test-runner-th60.mjs	.elm-build-ab-th60
2026-04-14T21:17:09Z	th60-trivial-data-builder	8	82.0	1.1	80.7	83.2	0.1	tests/BasicsTests.elm,tests/CharTests.elm,tests/DictTests.elm,tests/FloatTests.elm,tests/MaybeTests.elm,tests/OrderTests.elm,tests/ResultTests.elm,tests/SetTests.elm	.scratch/ab-bundles/test-runner-th60-trivial-data-builder.mjs	.elm-build-ab-th60-trivial-data-builder
